Program		INST_RETIRED.ANY	CPU_CLK_UNHALTED.THREAD	CPU_CLK_UNHALTED.REF_TSC	MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	DTLB_STORE_MISSES.MISS_CAUSES_A_WALK	ICACHE.HIT	ICACHE.MISSES	ITLB_MISSES.MISS_CAUSES_A_WALK	BR_INST_EXEC.ALL_BRANCHES	BR_MISP_EXEC.ALL_BRANCHES	BR_INST_RETIRED.ALL_BRANCHES	MEM_UOPS_RETIRED.STLB_MISS_LOADS	MEM_UOPS_RETIRED.STLB_MISS_STORES	MEM_UOPS_RETIRED.ALL_LOADS	MEM_UOPS_RETIRED.ALL_STORES	MEM_LOAD_UOPS_RETIRED.L1_HIT	MEM_LOAD_UOPS_RETIRED.L2_HIT	MEM_LOAD_UOPS_RETIRED.L3_HIT	MEM_LOAD_UOPS_RETIRED.L1_MISS	MEM_LOAD_UOPS_RETIRED.L2_MISS	MEM_LOAD_UOPS_RETIRED.L3_MISS	DTLB_LOAD_MISSES.WALK_COMPLETED	DTLB_LOAD_MISSES.STLB_HIT	DTLB_STORE_MISSES.WALK_COMPLETED	DTLB_STORE_MISSES.STLB_HIT	ITLB_MISSES.WALK_COMPLETED	ITLB_MISSES.STLB_HIT	Benign
blackscholes		6696010044	4498006747	5154007731	0	0	372000558	7200108	0	943214148	8400126	993622356	0	0	1524002286	624000936	1512002268	7800234	6002520	16200486	5402268	0	0	0	0	0	0	0	1
blackscholes		6782010173	4678007017	5188007782	120066	0	528000792	3600054	0	1014015210	4800072	1058423814	0	0	1392002088	624000936	1488002232	7800234	6902898	18000540	6002520	0	0	0	0	0	0	0	1
blackscholes		6726010089	4532006798	5174007761	0	0	360000540	0	0	918013770	4800072	964821708	0	0	1536002304	708001062	1512002268	9600288	8103402	19800594	6902898	0	0	0	0	0	0	0	1
blackscholes		6722010083	4414006621	4906007359	0	0	372000558	1200018	0	904813572	6000090	945621276	0	0	1584002376	732001098	1440002160	9000270	8103402	18600558	6002520	0	0	0	0	0	0	0	1
blackscholes		6710010065	4522006783	5136007704	0	0	168000252	0	0	870013050	4800072	909620466	0	0	1668002502	720001080	1596002394	8400252	7503150	18000540	7203024	0	0	0	0	0	0	0	1
blackscholes		6730010095	4368006552	4884007326	0	0	432000648	3600054	0	982814742	7200108	1020022950	0	0	1680002520	756001134	1548002322	6600198	5402268	13800414	3901638	0	0	0	0	0	0	0	1
blackscholes		6720010080	4428006642	4840007260	0	0	372000558	8400126	0	656409846	6000090	652814688	0	0	1320001980	576000864	1512002268	7800234	5102142	13200396	6302646	0	0	0	0	600018	0	600018	1
blackscholes		6708010062	4362006543	4796007194	0	0	408000612	1200018	0	968414526	7200108	1003222572	0	0	1560002340	684001026	1404002106	8400252	8103402	18000540	5402268	0	0	0	0	0	0	0	1
blackscholes		6724010086	4388006582	4758007137	0	0	396000594	1200018	0	944414166	6000090	991222302	0	0	1596002394	708001062	1536002304	9000270	7503150	18600558	5402268	0	0	0	0	0	0	0	1
blackscholes		6718010077	4394006591	4532006798	0	0	360000540	0	0	919213788	6000090	955221492	0	0	1632002448	732001098	1416002124	9000270	7503150	18000540	6002520	0	0	0	0	0	0	0	1
	
bodytrack		14830022245	9382014073	10744016116	240132	0	1884002826	16800252	0	1575623634	10800162	1552834938	0	0	2868004302	912001368	2688004032	82802484	16807056	100803024	18907938	0	0	0	0	600018	0	600018	1
